VATyp;VA_Nr_(KT);Datum_von;Datum_bis;Dauer;Veranstaltungsstätte;VA_Raum;VA_Buchung_Name;Buchungsstatus;Veranstalter_1;VA_RaumFläche;Aktivitätsstatus
MV;12179;14.05.2024 08:00;15.05.2024 00:00;16;FFK;Saal;Galadinner;Vtg ok;Heacon Service GmbH;720;Veranstaltung allgemein
MV;12179;14.05.2024 08:00;15.05.2024 00:00;16;FFK;Georges-Casalis-Saal;Galadinner;Vtg ok;Heacon Service GmbH;160;Veranstaltung allgemein
MV;12179;14.05.2024 08:00;15.05.2024 00:00;16;FFK;Entrée;Galadinner;Vtg ok;Heacon Service GmbH;24;Veranstaltung allgemein
EV;;05.03.2024 19:00;05.03.2024 21:00;2;FFK;Georges-Casalis-Saal;rotary club;Fix;BESONDERE ORTE Umweltforum Berlin GmbH;160;Veranstaltung allgemein
MV;12145;01.02.2024 10:00;01.02.2024 17:30;7,5;FFK;Salon Godet;Neujahrsempfang;Vtg ok;Verband Bergbau, Geologie und Umwelt e.V.;22;Veranstaltung allgemein
MV;12143;19.03.2024 10:30;20.03.2024 01:30;15;FFK;Salon Godet;Dinnerveranstaltung;Vtg ok;insolite Germany GmbH;22;Veranstaltung allgemein
MV;12179;14.05.2024 08:00;15.05.2024 00:00;16;FFK;Innenhof;Galadinner;Vtg ok;Heacon Service GmbH;45;Veranstaltung allgemein
MV;12179;14.05.2024 08:00;15.05.2024 00:00;16;FFK;Salon Godet;Galadinner;Vtg ok;Heacon Service GmbH;22;Veranstaltung allgemein
MV;12143;19.03.2024 10:30;20.03.2024 01:30;15;FFK;Entrée;Dinnerveranstaltung;Vtg ok;insolite Germany GmbH;24;Veranstaltung allgemein
MV;12192;22.06.2024 16:15;22.06.2024 22:45;6,5;FFK;Französische Friedrichstadtkirche;Noche de Tango;Vtg ok;Badaruta, Julian;0;Konzert
MV;12192;22.06.2024 16:15;22.06.2024 22:45;6,5;FFK;Saal;Noche de Tango;Vtg ok;Badaruta, Julian;720;Konzert
MV;12192;22.06.2024 16:15;22.06.2024 22:45;6,5;FFK;Salon Godet;Noche de Tango;Vtg ok;Badaruta, Julian;22;Konzert
MV;12191;26.04.2024 13:45;26.04.2024 21:30;7,75;FFK;Restaurant Hugo & Notte;Catering Hauptversammlung Reformierter Bund;Vtg ok;Reformierter Bund in Deutschland;160;Veranstaltung allgemein
MV;12191;26.04.2024 13:45;26.04.2024 21:30;7,75;FFK;Rotunde;Catering Hauptversammlung Reformierter Bund;Vtg ok;Reformierter Bund in Deutschland;87;Veranstaltung allgemein
MV;12215;20.12.2024 08:00;20.12.2024 12:30;4,5;FFK;Französische Friedrichstadtkirche;Weihnachtskonzert;Vtg ok;Max-Planck-Gymnasium;0;Veranstaltung allgemein
MV;12215;20.12.2024 08:00;20.12.2024 12:30;4,5;FFK;Saal;Weihnachtskonzert;Vtg ok;Max-Planck-Gymnasium;720;Veranstaltung allgemein
MV;12215;20.12.2024 08:00;20.12.2024 12:30;4,5;FFK;Salon Godet;Weihnachtskonzert;Vtg ok;Max-Planck-Gymnasium;22;Veranstaltung allgemein
MV;12215;20.12.2024 08:00;20.12.2024 12:30;4,5;FFK;Georges-Casalis-Saal;Weihnachtskonzert;Vtg ok;Max-Planck-Gymnasium;160;Veranstaltung allgemein
